"material","value","passage"
"(NbTiVTa)(100-x)Alx refractory HEAs",1330,"Microstructure and mechanical properties of Nb25Mo25Ta25W25 and Ti8Nb23Mo23Ta23W23 high entropy alloys prepared by mechanical alloying and spark plasma sintering. Senkov et al. reported that the substitution of heavy elements (W, Mo and V) with the lighter ones (Hf, Zr and Ti) considerably decreased the alloy density and improved the fracture strain [9]. Yang et al. prepared a series of novel (NbTiVTa)(100-x)Alx refractory HEAs and also found that as Al content increased to 25 at%, the yield strength increased to 1330 MPa and the compressive strain exceeded 50% [10]."
"AlCoCrFeNi (2 mm Cu mold)",1423,"Heat treatment influence on the microstructure and mechanical properties of AlCrFeNiTi0.5 high entropy alloys. Wang et al. [29] reported that cooling rates during solidification have a large impact on the mechanical properties of the AlCoCrFeNi alloy by increasing the mechanical properties. For example, the compressive yield stress, maximum compressive and compressive strain for alloy solidified in a 10 mm diameter Cu mold increased from 1258 MPa, 1850 MPa, 11.7%, respectively to 1423 MPa, 2580 MPa, 22.7%, when the Cu mold was only 2 mm."
"AlCoCrFeNi (10 mm Cu mold)",1258,"Heat treatment influence on the microstructure and mechanical properties of AlCrFeNiTi0.5 high entropy alloys. Wang et al. [29] reported that cooling rates during solidification have a large impact on the mechanical properties of the AlCoCrFeNi alloy by increasing the mechanical properties. For example, the compressive yield stress, maximum compressive and compressive strain for alloy solidified in a 10 mm diameter Cu mold increased from 1258 MPa, 1850 MPa, 11.7%, respectively to 1423 MPa, 2580 MPa, 22.7%, when the Cu mold was only 2 mm."
"AlCoCrFeNiTix",2260,"Heat treatment influence on the microstructure and mechanical properties of AlCrFeNiTi0.5 high entropy alloys. Another way of controlling the microstructure is by adding an element that will not only change the microstructural morphology, but will also enhance the nucleation of different phases which will result in higher strength while maintaining ductility. For example, adding Ti to the AlCoCrFeNi alloy (creating AlCoCrFeNiTix) at low Ti concentrations (x = 0.5) improved the mechanical properties and increased the yield stress to 2.26 GPa and fracture strength to 3.14 GPa by the nucleation of different phases, while maintaining high elongation of 23.3% [10]."
"CoCrFeNi HEA with Ti and Al additions",645,"Novel NiAl-strengthened high entropy alloys with balanced tensile strength and ductility. Due to the formation of the σ phase, significant strengthening (from 130 MPa to 330 MPa), accompanied by no ductility, was demonstrated in the CoCrFeNiV alloys [20]. Minor alloy additions of Ti and Al to a single-phase CoCrFeNi HEA can induce the formation of L12-coherent precipitates in the FCC matrix, which gives a yield strength of 645 MPa with an elongation of 39% [21]."
"CoCrFeNiV (upper range)",330,"Novel NiAl-strengthened high entropy alloys with balanced tensile strength and ductility. Due to the formation of the σ phase, significant strengthening (from 130 MPa to 330 MPa), accompanied by no ductility, was demonstrated in the CoCrFeNiV alloys [20]. Minor alloy additions of Ti and Al to a single-phase CoCrFeNi HEA can induce the formation of L12-coherent precipitates in the FCC matrix, which gives a yield strength of 645 MPa with an elongation of 39% [21]."
"NiAl-strengthened HEA (aged at 700 °C)",321,"Novel NiAl-strengthened high entropy alloys with balanced tensile strength and ductility. The yield strength and ductility of as-homogenized state are about 167 MPa and 62%, respectively. After the aging at 700 °C for 500 h, the yield strength of this HEA increase to 321 MPa, but the ductility decreases to 29%."
"Al0.3CoCrFeNi (after heat treatment)",300,"Novel NiAl-strengthened high entropy alloys with balanced tensile strength and ductility. (2) In situ neutron diffraction experiments were conducted to study the strengthening effect of the B2 phase on tensile properties of Al0.3CoCrFeNi HEAs directly. The results show that the heat treatment introduces the secondary B2 phase into the FCC matrix, which increases the yield strength from 145 MPa to 300 MPa."
"Al0.3CoCrFeNi (after heat treatment)",300,"Novel NiAl-strengthened high entropy alloys with balanced tensile strength and ductility. In situ neutron diffraction experiments were conducted to study the strengthening effect of the B2 phase on tensile properties of Al0.3CoCrFeNi HEAs directly. The results show that the heat treatment introduces the secondary B2 phase into the FCC matrix, which increases the yield strength from 145 MPa to 300 MPa."
"CoCrFeMnNi",200,"Novel NiAl-strengthened high entropy alloys with balanced tensile strength and ductility. One of the approaches is the grain refinement. For example, Otto et al. increased the room temperature (RT) yield strength of CoCrFeMnNi from 200 MPa to 350 MPa via the grain refinement from 155 to 4.4 µm, utilizing the grain-boundary strengthening mechanism [9]."
"NiAl-strengthened high entropy alloys",167,"Novel NiAl-strengthened high entropy alloys with balanced tensile strength and ductility. The full stress-strain curves of both as-homogenized and as-aged HEAs are provided in Fig. 6(a) and (b). The yield strength and ductility of as-homogenized state are about 167 MPa and 62%, respectively."
"NiAl-strengthened HEA (as-homogenized)",167,"Novel NiAl-strengthened high entropy alloys with balanced tensile strength and ductility. The yield strength and ductility of as-homogenized state are about 167 MPa and 62%, respectively. After the aging at 700 °C for 500 h, the yield strength of this HEA increase to 321 MPa, but the ductility decreases to 29%."
"NiAl-strengthened high entropy alloys",145,"Novel NiAl-strengthened high entropy alloys with balanced tensile strength and ductility. The macroscopic stress-strain curve is shown in Fig. 8(a). The yield strength is around 145 MPa."
"Al0.3CoCrFeNi (before heat treatment)",145,"Novel NiAl-strengthened high entropy alloys with balanced tensile strength and ductility. (2) In situ neutron diffraction experiments were conducted to study the strengthening effect of the B2 phase on tensile properties of Al0.3CoCrFeNi HEAs directly. The results show that the heat treatment introduces the secondary B2 phase into the FCC matrix, which increases the yield strength from 145 MPa to 300 MPa."
"Al0.3CoCrFeNi (before heat treatment)",145,"Novel NiAl-strengthened high entropy alloys with balanced tensile strength and ductility. In situ neutron diffraction experiments were conducted to study the strengthening effect of the B2 phase on tensile properties of Al0.3CoCrFeNi HEAs directly. The results show that the heat treatment introduces the secondary B2 phase into the FCC matrix, which increases the yield strength from 145 MPa to 300 MPa."
"FG-HEA-1075",574,"Non-equiatomic FeNiCoAl-based high entropy alloys with multiscale heterogeneous lamella structure for strength and ductility. By substituting the data of CG1-HEA-1300 (σy = 322 MPa, d = 100 µm) and CG2-HEA-1300 (σy = 300 MPa, d = 400 µm) to the equation (8), σf = 277 MPa and ky = 440 MPa μm^(1/2) are obtained. Furthermore, Eq. (5) can be rewritten to estimate initial yield stress based on back-stress strengthening: Therefore, the contribution from the Hall-Petch effect is 250 MPa for FG-HEA-1075 (σy = 574 MPa) with grain size of 3.6 µm, and the precipitation strengthening from NiAl particles results in 574–250-277 = 47 MPa (additional strength)."
"FG-HEA-1075",574,"Non-equiatomic FeNiCoAl-based high entropy alloys with multiscale heterogeneous lamella structure for strength and ductility. Furthermore, Eq. (5) can be rewritten to estimate initial yield stress based on back-stress strengthening: Therefore, the contribution from the Hall-Petch effect is 250 MPa for FG-HEA-1075 (σy = 574 MPa) with grain size of 3.6 µm, and the precipitation strengthening from NiAl particles results in 574–250-277 = 47 MPa (additional strength). For HL-HEA-1200 (σy = 484 MPa), back-stress contribution towards initial yield strength due to heterogeneous microstructure is found to be ~192 MPa, which agrees well with exponentially extrapolated result of the back-stress curve in Fig. 7(e) for HL-HEA-1200."
"HL-HEA-1200",484,"Non-equiatomic FeNiCoAl-based high entropy alloys with multiscale heterogeneous lamella structure for strength and ductility. Furthermore, Eq. (5) can be rewritten to estimate initial yield stress based on back-stress strengthening: Therefore, the contribution from the Hall-Petch effect is 250 MPa for FG-HEA-1075 (σy = 574 MPa) with grain size of 3.6 µm, and the precipitation strengthening from NiAl particles results in 574–250-277 = 47 MPa (additional strength). For HL-HEA-1200 (σy = 484 MPa), back-stress contribution towards initial yield strength due to heterogeneous microstructure is found to be ~192 MPa, which agrees well with exponentially extrapolated result of the back-stress curve in Fig. 7(e) for HL-HEA-1200."
"CG1-HEA-1300",322,"Non-equiatomic FeNiCoAl-based high entropy alloys with multiscale heterogeneous lamella structure for strength and ductility. By substituting the data of CG1-HEA-1300 (σy = 322 MPa, d = 100 µm) and CG2-HEA-1300 (σy = 300 MPa, d = 400 µm) to the equation (8), σf = 277 MPa and ky = 440 MPa μm^(1/2) are obtained. Furthermore, Eq. (5) can be rewritten to estimate initial yield stress based on back-stress strengthening: Therefore, the contribution from the Hall-Petch effect is 250 MPa for FG-HEA-1075 (σy = 574 MPa) with grain size of 3.6 µm, and the precipitation strengthening from NiAl particles results in 574–250-277 = 47 MPa (additional strength)."
"CG2-HEA-1300",300,"Non-equiatomic FeNiCoAl-based high entropy alloys with multiscale heterogeneous lamella structure for strength and ductility. By substituting the data of CG1-HEA-1300 (σy = 322 MPa, d = 100 µm) and CG2-HEA-1300 (σy = 300 MPa, d = 400 µm) to the equation (8), σf = 277 MPa and ky = 440 MPa μm^(1/2) are obtained. Furthermore, Eq. (5) can be rewritten to estimate initial yield stress based on back-stress strengthening: Therefore, the contribution from the Hall-Petch effect is 250 MPa for FG-HEA-1075 (σy = 574 MPa) with grain size of 3.6 µm, and the precipitation strengthening from NiAl particles results in 574–250-277 = 47 MPa (additional strength)."
"FeCoCrNiMn (1.0 at% carbon)",643.8,"Effects of carbon on the microstructures and mechanical properties of FeCoCrNiMn high entropy alloys. For the cold rolled and then annealed alloys, the yield strength and UTS also increase significantly with the carbon content. As the carbon content of the cold rolled and then annealed alloys increases from 0 to 1.0 at%, the yield strength increases from 378.7 MPa to 643.8 MPa, the UTS increases from 700.1 MPa to 887.6 MPa, while the uniform elongation decreases from 43.5% to 24.9%."
"FeCoCrNiMn (1.0 at% carbon)",643.8,"Effects of carbon on the microstructures and mechanical properties of FeCoCrNiMn high entropy alloys. The volume fraction of M23C6 carbides reaches up to 8.9% in the HEAs with 1.0 at% carbon. (3) As the carbon content increases from 0 to 1.0 at%, the yield strength and UTS of the cold rolled and then annealed alloys increase from 378.7 MPa to 643.8 MPa, and from 700.1 MPa to 887.6 MPa, respectively."
"FeCoCrNiMn (1.0 at% carbon)",643.8,"Effects of carbon on the microstructures and mechanical properties of FeCoCrNiMn high entropy alloys. The volume fraction of M23C6 carbides reaches up to 8.9% in the HEAs with 1.0 at% carbon. As the carbon content increases from 0 to 1.0 at%, the yield strength and UTS of the cold rolled and then annealed alloys increase from 378.7 MPa to 643.8 MPa, and from 700.1 MPa to 887.6 MPa, respectively."
"FeCoCrNiMn (1.0 at% C)",406.1,"Effects of carbon on the microstructures and mechanical properties of FeCoCrNiMn high entropy alloys. It is found that both the yield strength and UTS increase with increasing the carbon content. As the carbon content increases from 0 to 1.0 at%, the uniform elongation of the homogenized alloys decreases from 65.5% to 30.7%, while the yield strength and UTS increase substantially from 196.7 MPa to 406.1 MPa, and from 489.8 MPa to 748.7 MPa, respectively."
"FeCoCrNiMn (1.0 at% carbon)",406.1,"Effects of carbon on the microstructures and mechanical properties of FeCoCrNiMn high entropy alloys. The addition of carbon has a significant effect on the mechanical properties of the alloys. The main conclusions are as follows: (1) As the carbon content increases from 0 to 1.0 at%, the yield strength and UTS of the homogenization treated alloys increase substantially from 196.7 MPa to 406.1 MPa, and from 489.8 MPa to 748.7 MPa, respectively."
"FeCoCrNiMn (1.0 at% C)",406.1,"Effects of carbon on the microstructures and mechanical properties of FeCoCrNiMn high entropy alloys. Such obvious enhancement of the mechanical properties for C-doped HEAs results from the refinement of the grains, high lattice friction stress and the presence of M23C6 precipitates after cold rolling and subsequent annealing. As the carbon content increases from 0 to 1.0 at%, the yield strength and UTS of the homogenization treated alloys increase substantially from 196.7 MPa to 406.1 MPa, and from 489.8 MPa to 748.7 MPa, respectively."
"FeCoCrNiMn (0 at% carbon)",378.7,"Effects of carbon on the microstructures and mechanical properties of FeCoCrNiMn high entropy alloys. For the cold rolled and then annealed alloys, the yield strength and UTS also increase significantly with the carbon content. As the carbon content of the cold rolled and then annealed alloys increases from 0 to 1.0 at%, the yield strength increases from 378.7 MPa to 643.8 MPa, the UTS increases from 700.1 MPa to 887.6 MPa, while the uniform elongation decreases from 43.5% to 24.9%."
"FeCoCrNiMn (0 at% carbon)",378.7,"Effects of carbon on the microstructures and mechanical properties of FeCoCrNiMn high entropy alloys. The volume fraction of M23C6 carbides reaches up to 8.9% in the HEAs with 1.0 at% carbon. As the carbon content increases from 0 to 1.0 at%, the yield strength and UTS of the cold rolled and then annealed alloys increase from 378.7 MPa to 643.8 MPa, and from 700.1 MPa to 887.6 MPa, respectively."
"HEAs with 1.1 at% carbon",355,"Effects of carbon on the microstructures and mechanical properties of FeCoCrNiMn high entropy alloys. They found that M23C6 and M7C3 carbides precipitated within the FCC matrix of the HEAs doped with a small amount of carbon (1.1 at%) after thermo-mechanical treatment, leading to improved mechanical properties [11]. Compared to the alloy without carbon addition, the yield strength of the HEAs doped with 1.1 at% carbon increases from 159 MPa to 355 MPa, and the tensile elongation increases from 41% to 50% [11]."
"FeCoCrNiMn (0 at% C)",196.7,"Effects of carbon on the microstructures and mechanical properties of FeCoCrNiMn high entropy alloys. It is found that both the yield strength and UTS increase with increasing the carbon content. As the carbon content increases from 0 to 1.0 at%, the uniform elongation of the homogenized alloys decreases from 65.5% to 30.7%, while the yield strength and UTS increase substantially from 196.7 MPa to 406.1 MPa, and from 489.8 MPa to 748.7 MPa, respectively."
"FeCoCrNiMn (0 at% carbon)",196.7,"Effects of carbon on the microstructures and mechanical properties of FeCoCrNiMn high entropy alloys. The addition of carbon has a significant effect on the mechanical properties of the alloys. The main conclusions are as follows: (1) As the carbon content increases from 0 to 1.0 at%, the yield strength and UTS of the homogenization treated alloys increase substantially from 196.7 MPa to 406.1 MPa, and from 489.8 MPa to 748.7 MPa, respectively."
"FeCoCrNiMn (0 at% C)",196.7,"Effects of carbon on the microstructures and mechanical properties of FeCoCrNiMn high entropy alloys. Such obvious enhancement of the mechanical properties for C-doped HEAs results from the refinement of the grains, high lattice friction stress and the presence of M23C6 precipitates after cold rolling and subsequent annealing. As the carbon content increases from 0 to 1.0 at%, the yield strength and UTS of the homogenization treated alloys increase substantially from 196.7 MPa to 406.1 MPa, and from 489.8 MPa to 748.7 MPa, respectively."
"HEAs without carbon",159,"Effects of carbon on the microstructures and mechanical properties of FeCoCrNiMn high entropy alloys. They found that M23C6 and M7C3 carbides precipitated within the FCC matrix of the HEAs doped with a small amount of carbon (1.1 at%) after thermo-mechanical treatment, leading to improved mechanical properties [11]. Compared to the alloy without carbon addition, the yield strength of the HEAs doped with 1.1 at% carbon increases from 159 MPa to 355 MPa, and the tensile elongation increases from 41% to 50% [11]."
"FeNiMnCrAl high entropy alloys",642,"The effects of carbon on the phase stability and mechanical properties of heat-treated FeNiMnCrAl high entropy alloys. The elongations to fracture for both samples did not substantially differ and remain low at 2.0 ± 0.2% and 1.4 ± 0.1% as measured from the samples, respectively. CHEA samples annealed at 1073 K for 24 h display a lower yield strength of 642 ± 38 MPa and again a low elongation to fracture of 2.0 ± 0.4%."
"fully recrystallized CHEA",557,"The effects of carbon on the phase stability and mechanical properties of heat-treated FeNiMnCrAl high entropy alloys. When subjected to cold-rolling and annealing, fully recrystallized HEAs and CHEAs displayed a refined grain size of ~5 µm and consequently, the room-temperature yield strength increased from 159 MPa for coarse-grained HEA to 416 MPa for fine-grained HEA. Similarly, the yield strength for the CHEA increased from 355 MPa to 557 MPa between the as-cast and fully recrystallized states."
"Fine-grained HEA",416,"The effects of carbon on the phase stability and mechanical properties of heat-treated FeNiMnCrAl high entropy alloys. Additionally, an increase in both the work hardening rate at a true strain of 20% from 1236 MPa for the HEA to 1895 MPa for the CHEA, as well as elongation to fracture from 41% for the HEA to 50% for the CHEA, was attributed to carbon-induced microband formation [12]. When subjected to cold-rolling and annealing, fully recrystallized HEAs and CHEAs displayed a refined grain size of ~5 µm and consequently, the room-temperature yield strength increased from 159 MPa for coarse-grained HEA to 416 MPa for fine-grained HEA."
"fine-grained HEA",416,"The effects of carbon on the phase stability and mechanical properties of heat-treated FeNiMnCrAl high entropy alloys. When subjected to cold-rolling and annealing, fully recrystallized HEAs and CHEAs displayed a refined grain size of ~5 µm and consequently, the room-temperature yield strength increased from 159 MPa for coarse-grained HEA to 416 MPa for fine-grained HEA. Similarly, the yield strength for the CHEA increased from 355 MPa to 557 MPa between the as-cast and fully recrystallized states."
"as-cast CHEA",355,"The effects of carbon on the phase stability and mechanical properties of heat-treated FeNiMnCrAl high entropy alloys. When subjected to cold-rolling and annealing, fully recrystallized HEAs and CHEAs displayed a refined grain size of ~5 µm and consequently, the room-temperature yield strength increased from 159 MPa for coarse-grained HEA to 416 MPa for fine-grained HEA. Similarly, the yield strength for the CHEA increased from 355 MPa to 557 MPa between the as-cast and fully recrystallized states."
"1.1 at% carbon-doped HEA",355,"The effects of carbon on the phase stability and mechanical properties of heat-treated FeNiMnCrAl high entropy alloys. Fe40.4Ni11.3Mn34.8Al7.5Cr6 with and without 1.1 at% carbon (hereafter referred to as CHEA and HEA, respectively) are single-phase f.c.c. alloys in the as-cast state. Previous work has shown that the interstitial carbon addition substantially strengthens the alloy, producing a linear increase in yield strength from 159 MPa for the un-doped HEA to 355 MPa for the 1.1 at% carbon-doped HEA [11]."
"un-doped HEA",159,"The effects of carbon on the phase stability and mechanical properties of heat-treated FeNiMnCrAl high entropy alloys. Fe40.4Ni11.3Mn34.8Al7.5Cr6 with and without 1.1 at% carbon (hereafter referred to as CHEA and HEA, respectively) are single-phase f.c.c. alloys in the as-cast state. Previous work has shown that the interstitial carbon addition substantially strengthens the alloy, producing a linear increase in yield strength from 159 MPa for the un-doped HEA to 355 MPa for the 1.1 at% carbon-doped HEA [11]."
"Coarse-grained HEA",159,"The effects of carbon on the phase stability and mechanical properties of heat-treated FeNiMnCrAl high entropy alloys. Additionally, an increase in both the work hardening rate at a true strain of 20% from 1236 MPa for the HEA to 1895 MPa for the CHEA, as well as elongation to fracture from 41% for the HEA to 50% for the CHEA, was attributed to carbon-induced microband formation [12]. When subjected to cold-rolling and annealing, fully recrystallized HEAs and CHEAs displayed a refined grain size of ~5 µm and consequently, the room-temperature yield strength increased from 159 MPa for coarse-grained HEA to 416 MPa for fine-grained HEA."
"coarse-grained HEA",159,"The effects of carbon on the phase stability and mechanical properties of heat-treated FeNiMnCrAl high entropy alloys. When subjected to cold-rolling and annealing, fully recrystallized HEAs and CHEAs displayed a refined grain size of ~5 µm and consequently, the room-temperature yield strength increased from 159 MPa for coarse-grained HEA to 416 MPa for fine-grained HEA. Similarly, the yield strength for the CHEA increased from 355 MPa to 557 MPa between the as-cast and fully recrystallized states."
"CHEA",146,"The effects of carbon on the phase stability and mechanical properties of heat-treated FeNiMnCrAl high entropy alloys. It should be noted that CHEA is highly sensitive to decarburization. Fig. 18 shows that the yield strength for the CHEA annealed at 1423 K dropped to ~146 MPa, while the elongation to fracture increased to 33%."
"Novel alloys",200,"Design of novel low-density refractory high entropy alloys for high-temperature applications. As shown in Fig. 3(a), RHEAs fabricated by far exhibit a wide range of densities from ∼5.58g/cm^(3) to 16.68g/cm^(3), and most of them are located at > ∼8g/cm^(3), which is equal or higher than the density of conventional nickel-based alloys. Novel alloys in this work exhibit comparable specific yield strengths (up to ∼200 MPa cm^(3)/g), and more importantly, are substantially lighter (∼6g/cm^(3)) compared with most RHEAs and typical nickel-based alloys."
"EHEA",510,"Engineering heterogeneous microstructure by severe warm-rolling for enhancing strength-ductility synergy in eutectic high entropy alloys. Following 90% deformation, the EHEA warm-rolled at 750 °C shows much lower hardness as compared to that of the materials warm-rolled 400 °C and 600 °C. The as-cast EHEA possesses yield strength (YS) ~ 510 ± 14 MPa, ultimate tensile strength (UTS) ~ 1009 ± 13 MPa and elongation to failure (ef) ~ 17 ± 1.4 %."
"Ni6Cr4WFe9Ti (0° scanning angle)",630,"Grain-anisotropied high-strength Ni6Cr4WFe9Ti high entropy alloys with outstanding tensile ductility. The largest strength of Ni6Cr4WFe9Ti alloy was achieved at a scanning angle of ~67°. The alloy has excellent mechanical properties with a yield strength (Rp0.2) of ~710 MPa and an ultimate tensile strength (σUTS) of ~983 MPa, when compared with Ni6Cr4WFe9Ti alloys with a scanning angle of ~0° (Rp0.2 = 630 MPa, σUTS=920 MPa), a ~12.7% increase in yield strength and a ~6.8% increase in ultimate tensile strength."
"Ni6Cr4WFe9Ti high entropy alloy",742,"Additively manufactured fine grained Ni6Cr4WFe9Ti high entropy alloys with high strength and ductility. The mechanical properties of the SLM-alloy and VAM-alloys at room temperature are shown in Fig. 6. As expected, the SLM-alloy exhibited excellent mechanical properties with the yield strength, (σy) of ~742 MPa, the ultimate tensile strength, (σUTS) of ~972 MPa, the elastic modulus, (E) of ~74.7 GPa and a total elongation, (ε) of ~12.2%."
"SLM-alloy",742,"Additively manufactured fine grained Ni6Cr4WFe9Ti high entropy alloys with high strength and ductility. As expected, the SLM-alloy exhibited excellent mechanical properties with the yield strength, (σy) of ~742 MPa, the ultimate tensile strength, (σUTS) of ~972 MPa, the elastic modulus, (E) of ~74.7 GPa and a total elongation, (ε) of ~12.2%. These values corresponded to a ~93% increase in yield strength and a ~50% increase in ultimate tensile strength, compared with the VAM-alloy (σy = 385 MPa, σUTS=649 MPa, E = 137.7 GPa, ε = 6.9%)."
"VAM-alloy",385,"Additively manufactured fine grained Ni6Cr4WFe9Ti high entropy alloys with high strength and ductility. As expected, the SLM-alloy exhibited excellent mechanical properties with the yield strength, (σy) of ~742 MPa, the ultimate tensile strength, (σUTS) of ~972 MPa, the elastic modulus, (E) of ~74.7 GPa and a total elongation, (ε) of ~12.2%. These values corresponded to a ~93% increase in yield strength and a ~50% increase in ultimate tensile strength, compared with the VAM-alloy (σy = 385 MPa, σUTS=649 MPa, E = 137.7 GPa, ε = 6.9%)."
"L12 phase",219,"Effects of Al and Ti additions on precipitation behavior and mechanical properties of Co35Cr25Fe40-xNix TRIP high entropy alloys. (3) The hardness and yield strength increase rapidly for Ni14-TA, and increase moderately for Ni5-TA alloy during the aging process. The dispersed L12 precipitates in Ni14-TA alloy are the main reason, owing to higher contributions of L12 phase (219 MPa) to yield strength than that of Heusler phase (44 MPa)."
"L12 phase",219,"Effects of Al and Ti additions on precipitation behavior and mechanical properties of Co35Cr25Fe40-xNix TRIP high entropy alloys. The hardness and yield strength increase rapidly for Ni14-TA, and increase moderately for Ni5-TA alloy during the aging process. The dispersed L12 precipitates in Ni14-TA alloy are the main reason, owing to higher contributions of L12 phase (219 MPa) to yield strength than that of Heusler phase (44 MPa)."
"Heusler phase",44,"Effects of Al and Ti additions on precipitation behavior and mechanical properties of Co35Cr25Fe40-xNix TRIP high entropy alloys. (3) The hardness and yield strength increase rapidly for Ni14-TA, and increase moderately for Ni5-TA alloy during the aging process. The dispersed L12 precipitates in Ni14-TA alloy are the main reason, owing to higher contributions of L12 phase (219 MPa) to yield strength than that of Heusler phase (44 MPa)."
"Heusler phase",44,"Effects of Al and Ti additions on precipitation behavior and mechanical properties of Co35Cr25Fe40-xNix TRIP high entropy alloys. The hardness and yield strength increase rapidly for Ni14-TA, and increase moderately for Ni5-TA alloy during the aging process. The dispersed L12 precipitates in Ni14-TA alloy are the main reason, owing to higher contributions of L12 phase (219 MPa) to yield strength than that of Heusler phase (44 MPa)."
"CRSA-600-24",730,"Superior tensile properties of Al0.3CoCrFeNi high entropy alloys with B2 precipitated phases at room and cryogenic temperatures. (2) Compared with the CRSA sample, the combination of fine grain strengthening and precipitation strengthening results in an increase in tensile strength and yield strength of the CRSA-600-24 sample, and a slight decrease in plasticity. Specifically, the yield strength, ultimate tensile strength and plasticity of CRSA-600-24 samples at 77 K increase from 460 MPa to 730 MPa, 913 MPa–1355 MPa, 62.5%–66.5%, respectively."
"CRSA-600-24",730,"Superior tensile properties of Al0.3CoCrFeNi high entropy alloys with B2 precipitated phases at room and cryogenic temperatures. Compared with the CRSA sample, the combination of fine grain strengthening and precipitation strengthening results in an increase in tensile strength and yield strength of the CRSA-600-24 sample, and a slight decrease in plasticity. Specifically, the yield strength, ultimate tensile strength and plasticity of CRSA-600-24 samples at 77 K increase from 460 MPa to 730 MPa, 913 MPa–1355 MPa, 62.5%–66.5%, respectively."
"Fe40Mn40Co10Cr10 high entropy alloys",765,"Gradient structure design to strengthen carbon interstitial Fe40Mn40Co10Cr10 high entropy alloys. This is mainly attributed to the increment of dislocation densities resulted from the gradient structure design. Although P7 has yield strength of as high as 765 MPa (78% higher than that of P0), it does not occur premature plastic instability but remain appreciable ductility of 20.5%, which is ascribed to the high strain hardening capability."
"Fe40Mn40Co10Cr10 high entropy alloys",765,"Gradient structure design to strengthen carbon interstitial Fe40Mn40Co10Cr10 high entropy alloys. At present, the design of heterostructure to stimulate the back stress for achieving superior combination of strength and ductility of metal materials has been widely concerned [23]. The yield strength of P7 sample is up to 765 MPa, while maintaining ductility as high as 20.5%, which is mainly attributed to its large strain hardening ability."
"P7 (Actual)",765,"Gradient structure design to strengthen carbon interstitial Fe40Mn40Co10Cr10 high entropy alloys. Therefore, the yield strength of P3 and P7 samples obtained from ROM is σ ys, ROM , 3 = 536 MPa and σ ys, ROM , 7 = 659 MPa , respectively. These value are lower than actual yield strength of P3 and P7 samples, i.e. σ ys , 3 = 587 MPa and σ ys , 7 = 765 MPa ."
"P7 Yield Strength",659,"Gradient structure design to strengthen carbon interstitial Fe40Mn40Co10Cr10 high entropy alloys. The increment of yield strength and hardness of the (Fe40Mn40Co10Cr10)96.7C3.3 HEA can be well fitted using following equation: Combining with the above analysis and Equation (7), it can be concluded that the increments of yield strength caused by the hardness increase of P3 and P7 samples are 107 MPa and 230 MPa respectively. Therefore, the yield strength of P3 and P7 samples obtained from ROM is σ ys, ROM , 3 = 536 MPa and σ ys, ROM , 7 = 659 MPa , respectively."
"P7 (ROM)",659,"Gradient structure design to strengthen carbon interstitial Fe40Mn40Co10Cr10 high entropy alloys. Therefore, the yield strength of P3 and P7 samples obtained from ROM is σ ys, ROM , 3 = 536 MPa and σ ys, ROM , 7 = 659 MPa , respectively. These value are lower than actual yield strength of P3 and P7 samples, i.e. σ ys , 3 = 587 MPa and σ ys , 7 = 765 MPa ."
"P3 (Actual)",587,"Gradient structure design to strengthen carbon interstitial Fe40Mn40Co10Cr10 high entropy alloys. Therefore, the yield strength of P3 and P7 samples obtained from ROM is σ ys, ROM , 3 = 536 MPa and σ ys, ROM , 7 = 659 MPa , respectively. These value are lower than actual yield strength of P3 and P7 samples, i.e. σ ys , 3 = 587 MPa and σ ys , 7 = 765 MPa ."
"P3 Yield Strength",536,"Gradient structure design to strengthen carbon interstitial Fe40Mn40Co10Cr10 high entropy alloys. The increment of yield strength and hardness of the (Fe40Mn40Co10Cr10)96.7C3.3 HEA can be well fitted using following equation: Combining with the above analysis and Equation (7), it can be concluded that the increments of yield strength caused by the hardness increase of P3 and P7 samples are 107 MPa and 230 MPa respectively. Therefore, the yield strength of P3 and P7 samples obtained from ROM is σ ys, ROM , 3 = 536 MPa and σ ys, ROM , 7 = 659 MPa , respectively."
"P3 (ROM)",536,"Gradient structure design to strengthen carbon interstitial Fe40Mn40Co10Cr10 high entropy alloys. Therefore, the yield strength of P3 and P7 samples obtained from ROM is σ ys, ROM , 3 = 536 MPa and σ ys, ROM , 7 = 659 MPa , respectively. These value are lower than actual yield strength of P3 and P7 samples, i.e. σ ys , 3 = 587 MPa and σ ys , 7 = 765 MPa ."
"Fe40Mn40Co10Cr10 (P0)",429,"Gradient structure design to strengthen carbon interstitial Fe40Mn40Co10Cr10 high entropy alloys. In addition, it is found that the σ ys and σ uts increase almost linearly with increasing rolling passes. By linear fitting, the σ ys and rolling passes satisfy the following formula: σ ys , x is yield strength of x passes treated sample; x is rolling passes and 429 (MPa) is yield strength of P0."
"Cantor alloy",1080,"Strengthening and fracture of deformation-processed dual fcc-phase CoCrFeCuNi and CoCrFeCu1.71Ni high entropy alloys. Fig. 8 shows the tensile stress-strain curves of as-rolled (a) and annealed (at 1173 K) (b) CoCrFeCuNi and CoCrFeCu1.71Ni high entropy alloys. Yield strengths of both as-rolled CoCrFeCuNi (1065 MPa) and CoCrFeCu1.71Ni (1020 MPa) high entropy alloys were found to be a little smaller than that of Cantor alloy (1080 MPa) [30–32]."
